Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name
30 Jun 25,-5.99,Card ending 2145, ,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-423.09,Subscriptions,Apple (App Store)
30 Jun 25,-27.98,Card ending 2145, ,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-417.10,Subscriptions,Apple (App Store)
30 Jun 25,-17.75,Card ending 2145, ,CREDIT CARD PURCHASE,Patreon* Membership Internet,-389.12,Services,Patreon Australia
30 Jun 25,-0.62,Card ending 2145, ,FEES,NAB INTNL TRAN FEE - (MC),-371.37,Fees,
30 Jun 25,3751.94,Card ending 2145, ,CREDIT CARD PAYMENT,DIRECT DEBIT PAYMENT,-370.75,Internal transfers,
27 Jun 25,-30.85,Card ending 2145, ,CREDIT CARD PURCHASE,Hunters Hill Medical Werribee,-4122.69,Medical,Hunters Hill Medical Practice
25 Jun 25,-4.49,Card ending 2145, ,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-4091.84,Subscriptions,Apple (App Store)
24 Jun 25,-20.49,Card ending 2145, ,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-4087.35,Subscriptions,Apple (App Store)
24 Jun 25,-99.99,Card ending 2145, ,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-4066.86,Subscriptions,Apple (App Store)
23 Jun 25,-20.49,Card ending 2145, ,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-3966.87,Subscriptions,Apple (App Store)
23 Jun 25,-14.99,Card ending 2145, ,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-3946.38,Subscriptions,Apple (App Store)
20 Jun 25,-39.98,Card ending 2145, ,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-3931.39,Subscriptions,Apple (App Store)
19 Jun 25,-106.99,Card ending 2145, ,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-3891.41,Subscriptions,Apple (App Store)
18 Jun 25,-19.99,Card ending 2145, ,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-3784.42,Subscriptions,Apple (App Store)
18 Jun 25,-12.49,Card ending 2145, ,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-3764.43,Subscriptions,Apple (App Store)
11 Jun 25,-129.00,Card ending 2145, ,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-3751.94,Subscriptions,Apple (App Store)
10 Jun 25,-688.77,Card ending 2145, ,CREDIT CARD PURCHASE,RESOLUTION LIFE QB SYDNEY,-3622.94,Insurance,Resolution Life Australasia
09 Jun 25,-25.99,Card ending 2145, ,CREDIT CARD PURCHASE,APPLE.COM/BILL SYDNEY,-2934.17,Subscriptions,Apple (App Store)
06 Jun 25,-153.65,Card ending 2145, ,CREDIT CARD PURCHASE,PROPER HONEST TECH LONDON,-2908.18,Uncategorised,
06 Jun 25,-5.38,Card ending 2145, ,FEES,NAB INTNL TRAN FEE - (MC),-2754.53,Fees,
04 Jun 25,-1314.76,Card ending 2145, ,CREDIT CARD PURCHASE,ASTERON LIFE SYDNEY,-2749.15,Insurance,Asteron
03 Jun 25,-944.46,Card ending 2145, ,CREDIT CARD PURCHASE,WESTERN DISTRICT HEALT LITHGOW,-1434.39,Insurance,Westfund
03 Jun 25,-178.31,Card ending 2145, ,CREDIT CARD PURCHASE,PETCOVER AUST PTY LT TULLAMARINE,-489.93,Insurance,Petcover
02 Jun 25,-31.23,Card ending 2145, ,CREDIT CARD PURCHASE,Patreon* Membership Internet,-311.62,Services,Patreon Australia
02 Jun 25,-1.09,Card ending 2145, ,FEES,NAB INTNL TRAN FEE - (MC),-280.39,Fees,
